"Handle","Title","Color (product.metafields.shopify.color-pattern)"
"the-delina-mini-chocolate","The delina mini - chocolate",""
"the-delina-mini-chocolate","The delina mini - chocolate",""
"the-delina-mini-chocolate","The delina mini - chocolate",""
"the-delina-mini-chocolate","The delina mini - chocolate",""
"the-delina-mini-navy","The delina mini - navy",""
"the-delina-mini-navy","The delina mini - navy",""
"the-delina-mini-navy","The delina mini - navy",""
"the-delina-mini-navy","The delina mini - navy",""
"the-delina-mini-navy","The delina mini - navy",""
"the-devore-maxi-black","The devore maxi - black",""
"the-devore-maxi-black","The devore maxi - black",""
"the-devore-maxi-black","The devore maxi - black",""
"the-devore-maxi-black","The devore maxi - black",""
"the-devore-maxi-black","The devore maxi - black",""
"the-devore-mini-black","The devore mini - black",""
"the-devore-mini-black","The devore mini - black",""
"the-devore-mini-black","The devore mini - black",""
"the-devore-mini-black","The devore mini - black",""
"the-devore-mini-black","The devore mini - black",""
"the-lace-up-corset-black","The dipped hem lace up corset - black",""
"the-lace-up-corset-black","The dipped hem lace up corset - black",""
"the-lace-up-corset-black","The dipped hem lace up corset - black",""
"the-lace-up-corset-black","The dipped hem lace up corset - black",""
"the-lace-up-corset-black","The dipped hem lace up corset - black",""
"the-lace-up-corset-black","The dipped hem lace up corset - black",""
"the-lace-up-corset-black","The dipped hem lace up corset - black",""
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden",""
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden",""
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden",""
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden",""
"the-double-strap-bikini-bottoms-eden-print","The double strap bikini bottoms - eden",""
"the-droplet-top-white","The droplet top - white",""
"the-droplet-top-white","The droplet top - white",""
"the-droplet-top-white","The droplet top - white",""
"the-droplet-top-white","The droplet top - white",""
"the-droplet-top-white","The droplet top - white",""
"the-elara-mini-cream","The elara mini - cream",""
"the-elara-mini-cream","The elara mini - cream",""
"the-elara-mini-cream","The elara mini - cream",""
"the-elara-mini-cream","The elara mini - cream",""
"the-elara-mini-cream","The elara mini - cream",""
"the-elara-mini-cream","The elara mini - cream",""
"the-feather-mini-skirt-black","The feather mini skirt - black",""
"the-feather-mini-skirt-black","The feather mini skirt - black",""
"the-feather-mini-skirt-black","The feather mini skirt - black",""
"the-feather-mini-skirt-black","The feather mini skirt - black",""
"the-feather-mini-skirt-white","The feather mini skirt - white",""
"the-feather-mini-skirt-white","The feather mini skirt - white",""
