"Handle","Title","Size","Variant SKU","Variant ID"
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt","10","CROCHET-WIDE-BIK-MEL-10",56604627566978
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt","12","CROCHET-WIDE-BIK-MEL-12",56604627599746
"the-crochet-wide-band-bikini-bottoms-mocha-melt","The crochet wide band bikini bottoms - mocha melt","14","CROCHET-WIDE-BIK-MEL-14",56604627632514
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet","4","CROCHET-WIDE-BIK-SOR-4-1",56604627861890
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet","6","CROCHET-WIDE-BIK-SOR-6-1",56604627894658
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet","8","CROCHET-WIDE-BIK-SOR-8-1",56604627927426
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet","10","CROCHET-WIDE-BIK-SOR-10-1",56604627960194
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet","12","CROCHET-WIDE-BIK-SOR-12-1",56604627992962
"the-crochet-wide-band-bikini-bottoms-strawberry-sorbet","The crochet wide band bikini bottoms - strawberry sorbet","14","CROCHET-WIDE-BIK-SOR-14-1",56604628025730
"the-wide-band-bikini-top-black-white-crochet","The crochet wide band bikini top - black & white","16","CROCHET-WIDE-BIK-CRO-16-1",43974038683701
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet","4","CROCHET-WIDE-BIK-SOR-4-2",56604628484482
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet","6","CROCHET-WIDE-BIK-SOR-6-2",56604628517250
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet","8","CROCHET-WIDE-BIK-SOR-8-2",56604628550018
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet","10","CROCHET-WIDE-BIK-SOR-10-2",56604628582786
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet","12","CROCHET-WIDE-BIK-SOR-12-2",56604628615554
"the-crochet-wide-band-bikini-top-lemon-sorbet","The crochet wide band bikini top - lemon sorbet","14","CROCHET-WIDE-BIK-SOR-14-2",56604628648322
