Handle,Size,Colour (lookup),Variant Inventory Qty,Variant SKU,Colour (import display),Title (import)
the-lace-maxi-skirt-white-floral,6,,25,MAXI-SKT-FLO-6-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,8,,4,MAXI-SKT-FLO-8-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,10,,7,MAXI-SKT-FLO-10-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,12,,8,MAXI-SKT-FLO-12-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,14,,7,MAXI-SKT-FLO-14-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-white-floral,16,,8,MAXI-SKT-FLO-16-1,White Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,4,,22,MAXI-SKT-FLO-4,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,6,,35,MAXI-SKT-FLO-6,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,8,,28,MAXI-SKT-FLO-8,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,10,,37,MAXI-SKT-FLO-10,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,12,,11,MAXI-SKT-FLO-12,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,14,,9,MAXI-SKT-FLO-14,Black Floral,The lace maxi skirt
the-lace-maxi-skirt-black-floral,16,,12,MAXI-SKT-FLO-16,Black Floral,The lace maxi skirt
the-strapy-mesh-maxi-pink-floral,4,,1,STRAPPY-MESH-GEN-FLO-4-1,Pink Floral,The strappy mesh maxi
the-strapy-mesh-maxi-pink-floral,6,,3,STRAPPY-MESH-GEN-FLO-6-1,Pink Floral,The strappy mesh maxi
the-strappy-mesh-maxi-blue-floral,4,,3,STRAPPY-MESH-GEN-FLO-4,Blue Floral,The strappy mesh maxi
the-strappy-mesh-maxi-blue-floral,6,,8,STRAPPY-MESH-GEN-FLO-6,Blue Floral,The strappy mesh maxi
the-strappy-mesh-maxi-blue-floral,10,,1,STRAPPY-MESH-GEN-FLO-10,Blue Floral,The strappy mesh maxi
the-strappy-mesh-maxi-blue-floral,12,,2,STRAPPY-MESH-GEN-FLO-12,Blue Floral,The strappy mesh maxi
